,ADJP,ADVP,NP,PP,S,SBAR,VP
ADJP,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ADVP,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,0.0,0.0,35.0,0.0,0.0,0.0,0.0
PP,0.0,2.0,0.0,12.0,0.0,1.0,0.0
S,0.0,0.0,0.0,0.0,15.0,0.0,0.0
SBAR,0.0,0.0,0.0,0.0,0.0,2.0,0.0
VP,0.0,0.0,0.0,0.0,0.0,0.0,22.0
