  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 936   20    0  100.00  94.44    17     17   18      0     20    18    90.00
 937   41    0   75.00  77.78    21     28   27      1     41    40    97.56
 938   24    0   94.44  94.44    17     18   18      0     24    23    95.83
 939   21    0   94.12  84.21    16     17   19      1     21    17    80.95
 940   25    0   85.00  85.00    17     20   20      2     25    23    92.00
 941   18    0   93.33 100.00    14     15   14      0     18    18   100.00
 942   27    0   83.33  71.43    15     18   21      0     27    23    85.19
 943   14    0   90.91  90.91    10     11   11      0     14    13    92.86
 944   15    0  100.00 100.00    12     12   12      0     14    14   100.00
 945    7    0  100.00 100.00     6      6    6      0      7     6    85.71
 946   22    0   80.00  85.71    12     15   14      1     22    21    95.45
 947   40    0   87.10  93.10    27     31   29      0     40    36    90.00
 948   40    0   94.44  91.89    34     36   37      0     40    39    97.50
 949   29    0   80.00  82.76    24     30   29      4     29    28    96.55
 950   10    0  100.00 100.00     7      7    7      0      9     9   100.00
 951   22    0  100.00 100.00    15     15   15      0     22    21    95.45
 952   17    0   86.67  86.67    13     15   15      1     17    17   100.00
 953   25    0  100.00  93.33    14     14   15      0     25    25   100.00
 954   22    0   90.00  90.00    18     20   20      1     22    21    95.45
 955   20    0  100.00 100.00    20     20   20      0     20    20   100.00
 956   27    0   96.30 100.00    26     27   26      0     27    26    96.30
 957   41    0   89.29  80.65    25     28   31      0     40    39    97.50
 958   20    0   94.74 100.00    18     19   18      0     20    20   100.00
 959   29    0   96.67  96.67    29     30   30      0     29    28    96.55
 960   14    0  100.00 100.00    12     12   12      0     14    14   100.00
 961   53    0   88.89  88.89    32     36   36      2     53    50    94.34
 962   20    0  100.00 100.00    15     15   15      0     20    19    95.00
 963   17    0  100.00 100.00    15     15   15      0     17    17   100.00
 964    5    0  100.00 100.00     6      6    6      0      5     2    40.00
 965   17    0  100.00 100.00    14     14   14      0     17    16    94.12
 966   10    0  100.00 100.00     9      9    9      0     10    10   100.00
 967    7    0  100.00 100.00     7      7    7      0      7     7   100.00
 968   10    0   91.67 100.00    11     12   11      0     10     9    90.00
 969   22    0  100.00 100.00    23     23   23      0     22    22   100.00
 970    9    0  100.00 100.00    10     10   10      0      9     9   100.00
 971   10    0  100.00 100.00     7      7    7      0     10    10   100.00
 972    7    0  100.00 100.00     7      7    7      0      7     7   100.00
 973   13    0   81.82  81.82     9     11   11      0     11    11   100.00
 974    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 975    9    0   87.50  77.78     7      8    9      0      7     7   100.00
 976   13    0  100.00 100.00    14     14   14      0     13    13   100.00
 977   12    0   92.86  92.86    13     14   14      0     10     9    90.00
 978    8    0  100.00 100.00    10     10   10      0      8     8   100.00
 979   11    0   90.00 100.00     9     10    9      0      9     9   100.00
 980   23    0   96.30  96.30    26     27   27      0     23    23   100.00
 981   12    0  100.00 100.00    10     10   10      0     10    10   100.00
 982    4    0  100.00 100.00     2      2    2      0      2     2   100.00
 983   13    0  100.00 100.00     9      9    9      0     11    11   100.00
 984    7    0   80.00  80.00     4      5    5      0      5     5   100.00
 985    7    0  100.00 100.00     5      5    5      0      5     5   100.00
 986   12    0   93.75  93.75    15     16   16      0     11    11   100.00
 987    7    0  100.00 100.00     5      5    5      0      6     6   100.00
 988   10    0  100.00 100.00    12     12   12      0     10    10   100.00
 989   10    0   90.91  90.91    10     11   11      0     10    10   100.00
 990   24    0  100.00  95.24    20     20   21      0     22    22   100.00
 991   22    0  100.00  96.00    24     24   25      0     22    22   100.00
 992   11    0  100.00 100.00    11     11   11      0     11    10    90.91
 993    9    0  100.00 100.00    13     13   13      0      9     9   100.00
 994   16    1    0.00   0.00     0      0    0      0      0     0     0.00
 995   10    0   71.43  62.50     5      7    8      0      8     6    75.00
 996   11    0  100.00 100.00    10     10   10      0      9     9   100.00
 997    6    0  100.00 100.00     5      5    5      0      6     6   100.00
 998   11    0   87.50  87.50     7      8    8      0      9     9   100.00
 999   13    0  100.00 100.00    12     12   12      0     13    13   100.00
1000    7    0  100.00 100.00     5      5    5      0      5     5   100.00
1001    6    0  100.00 100.00     5      5    5      0      5     5   100.00
1002    8    0  100.00 100.00    11     11   11      0      8     8   100.00
1003   19    0   95.00  95.00    19     20   20      0     19    19   100.00
1004    7    0  100.00 100.00    10     10   10      0      7     7   100.00
1005    7    0  100.00 100.00     7      7    7      0      6     6   100.00
1006   15    0  100.00 100.00    14     14   14      0     13    13   100.00
1007   11    0  100.00 100.00     8      8    8      0     10    10   100.00
1008    7    0  100.00 100.00     5      5    5      0      6     5    83.33
1009   12    0  100.00 100.00    12     12   12      0     12    12   100.00
1010   11    0  100.00 100.00    11     11   11      0     11    11   100.00
1011    5    0  100.00  85.71     6      6    7      0      5     5   100.00
1012   11    0  100.00 100.00    13     13   13      0     11    11   100.00
1013   11    0   77.78  77.78     7      9    9      0      9     9   100.00
1014    7    0  100.00 100.00     5      5    5      0      5     5   100.00
1015   19    0   83.33  88.24    15     18   17      1     18    17    94.44
1016    7    0  100.00 100.00     8      8    8      0      6     6   100.00
1017   14    0   94.44 100.00    17     18   17      0     14    14   100.00
1018    6    0  100.00 100.00     7      7    7      0      6     6   100.00
1019    5    0  100.00 100.00     7      7    7      0      5     5   100.00
1020   15    0   80.00  75.00    12     15   16      1     15    15   100.00
1021    4    0  100.00 100.00     5      5    5      0      4     3    75.00
1022   12    0  100.00 100.00    16     16   16      0     12    12   100.00
1023   15    0   94.44  94.44    17     18   18      0     15    12    80.00
1024   46    0   75.56  79.07    34     45   43      9     46    44    95.65
1025    6    0  100.00  66.67     2      2    3      0      6     6   100.00
1026    8    0  100.00 100.00    10     10   10      0      8     8   100.00
1027   22    0   95.83  92.00    23     24   25      1     22    22   100.00
1028    6    0  100.00 100.00     5      5    5      0      6     6   100.00
1029   20    0   80.00  70.59    12     15   17      3     20    16    80.00
1030    7    0  100.00 100.00     6      6    6      0      7     6    85.71
1031    1    0  100.00 100.00     2      2    2      0      1     1   100.00
1032    1    0  100.00 100.00     2      2    2      0      1     0     0.00
1033   20    0  100.00 100.00    21     21   21      0     20    20   100.00
1034   33    0   88.89  88.89    32     36   36      0     33    33   100.00
