  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 435   11    0  100.00 100.00    10     10   10      0     11    11   100.00
 436   18    0  100.00 100.00    17     17   17      0     18    17    94.44
 437   12    0  100.00 100.00    15     15   15      0     12    12   100.00
 438    5    0  100.00 100.00     6      6    6      0      4     4   100.00
 439    7    0   55.56  55.56     5      9    9      0      7     7   100.00
 440    7    0   90.00  90.00     9     10   10      0      7     7   100.00
 441    8    0  100.00 100.00     7      7    7      0      8     8   100.00
 442   32    0   77.27  65.38    17     22   26      5     32    31    96.88
 443   15    0   90.91  90.91    10     11   11      0     15    15   100.00
 444   16    1    0.00   0.00     0      0    0      0      0     0     0.00
 445   30    0   89.29  89.29    25     28   28      2     30    29    96.67
 446   31    0   52.63  52.63    10     19   19      5     31    30    96.77
 447   31    0   91.30  84.00    21     23   25      0     29    27    93.10
 448   21    0   94.74  90.00    18     19   20      1     21    21   100.00
 449   15    0   88.24  88.24    15     17   17      1     15    15   100.00
 450   26    0   61.11  61.11    11     18   18      1     24    22    91.67
 451    9    0   72.73  88.89     8     11    9      0      9     8    88.89
 452    7    0  100.00 100.00     7      7    7      0      7     7   100.00
 453    7    0  100.00 100.00     8      8    8      0      7     7   100.00
 454   17    0  100.00 100.00    14     14   14      0     17    17   100.00
 455   20    0  100.00 100.00    18     18   18      0     20    19    95.00
 456   21    0   65.22  65.22    15     23   23      7     21    21   100.00
 457   16    0   50.00  50.00     7     14   14      5     16    16   100.00
 458   15    0   12.50  14.29     1      8    7      0     13    10    76.92
 459   25    0   92.31  92.31    24     26   26      1     25    25   100.00
 460   21    0   94.12  94.12    16     17   17      0     21    19    90.48
 461   42    0   62.16  69.70    23     37   33      5     42    36    85.71
 462   27    0   92.31  92.31    24     26   26      0     27    26    96.30
 463   18    0   53.85  63.64     7     13   11      1     18    18   100.00
 464    5    0  100.00 100.00     4      4    4      0      5     4    80.00
 465   19    0   83.33  76.92    10     12   13      1     19    19   100.00
 466   24    0   90.91  95.24    20     22   21      1     24    24   100.00
 467   15    0   92.86  86.67    13     14   15      1     15    15   100.00
 468   37    0   65.52  67.86    19     29   28      7     37    37   100.00
 469   28    0   96.30  92.86    26     27   28      0     28    28   100.00
 470   33    0   72.00  81.82    18     25   22      1     33    30    90.91
 471   29    0   81.48  88.00    22     27   25      1     29    29   100.00
 472   31    0   78.26  75.00    18     23   24      4     29    29   100.00
 473    4    0  100.00 100.00     2      2    2      0      4     4   100.00
 474    8    0  100.00 100.00     8      8    8      0      8     8   100.00
 475   14    0  100.00 100.00    13     13   13      0     14    14   100.00
 476   59    0   82.61  79.17    38     46   48      2     59    58    98.31
 477   57    0   80.77  82.35    42     52   51      6     55    54    98.18
