,ADJP,ADVP,NP,PP,S,SBAR,VP
ADJP,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ADVP,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,0.0,1.0,34.0,0.0,0.0,0.0,0.0
PP,0.0,1.0,0.0,12.0,0.0,1.0,0.0
S,0.0,0.0,0.0,0.0,13.0,0.0,0.0
SBAR,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VP,0.0,0.0,0.0,0.0,0.0,0.0,18.0
