  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 505   23    0  100.00 100.00    20     20   20      0     23    23   100.00
 506   30    0   92.86  96.30    26     28   27      1     28    27    96.43
 507   10    0   85.71  75.00     6      7    8      0     10    10   100.00
 508   28    0  100.00 100.00    23     23   23      0     28    27    96.43
 509   42    0   97.30  87.80    36     37   41      0     42    42   100.00
 510    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 511   17    0  100.00 100.00    10     10   10      0     15    15   100.00
 512   20    0   71.43  71.43    10     14   14      1     18    18   100.00
 513   17    0   90.00  81.82     9     10   11      0     15    15   100.00
 514    3    0  100.00 100.00     2      2    2      0      3     3   100.00
 515   17    0   64.29  75.00     9     14   12      1     15    13    86.67
 516    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 517    4    0  100.00 100.00     2      2    2      0      4     4   100.00
 518    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 519    1    0   50.00  50.00     1      2    2      0      1     1   100.00
 520    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 521    3    0  100.00 100.00     2      2    2      0      3     2    66.67
 522    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 523    1    0   50.00  33.33     1      2    3      0      1     1   100.00
 524   15    0   85.71  54.55     6      7   11      0     15    15   100.00
 525    6    0  100.00 100.00     4      4    4      0      6     6   100.00
 526   47    0   86.67  72.22    26     30   36      1     47    47   100.00
 527    9    0   66.67  66.67     4      6    6      1      9     7    77.78
 528   18    0  100.00  92.31    12     12   13      0     18    18   100.00
 529    9    0  100.00 100.00     7      7    7      0      9     9   100.00
 530   14    1    0.00   0.00     0      0    0      0      0     0     0.00
 531   17    0  100.00 100.00    13     13   13      0     17    17   100.00
 532   21    1    0.00   0.00     0      0    0      0      0     0     0.00
 533   21    0   93.33  82.35    14     15   17      0     21    21   100.00
 534   14    1    0.00   0.00     0      0    0      0      0     0     0.00
 535   25    1    0.00   0.00     0      0    0      0      0     0     0.00
 536   17    0   83.33  83.33    10     12   12      0     17    17   100.00
 537   23    1    0.00   0.00     0      0    0      0      0     0     0.00
 538    9    0  100.00 100.00     9      9    9      0      9     9   100.00
 539   13    0   87.50  77.78     7      8    9      0     13    13   100.00
 540   17    0  100.00 100.00    14     14   14      0     17    17   100.00
 541    8    0   66.67  66.67     4      6    6      0      8     6    75.00
 542   18    0  100.00 100.00    15     15   15      0     18    18   100.00
 543    9    0  100.00 100.00     7      7    7      0      9     9   100.00
 544   30    0   95.65  95.65    22     23   23      0     30    30   100.00
 545   10    0  100.00 100.00     8      8    8      0     10    10   100.00
 546   12    0   90.00  90.00     9     10   10      0     12    11    91.67
 547   24    0   94.12  94.12    16     17   17      0     24    24   100.00
 548   18    0  100.00 100.00    13     13   13      0     18    18   100.00
 549   23    0  100.00  88.24    15     15   17      0     23    23   100.00
 550   20    0   92.86 100.00    13     14   13      0     20    19    95.00
 551   17    0  100.00 100.00    12     12   12      0     17    17   100.00
 552   11    0  100.00 100.00     9      9    9      0     11    11   100.00
 553    9    0  100.00 100.00     7      7    7      0      9     9   100.00
 554   10    0   87.50  77.78     7      8    9      1     10    10   100.00
 555   26    0  100.00 100.00    20     20   20      0     25    25   100.00
 556    7    0  100.00 100.00     6      6    6      0      7     7   100.00
 557   19    0  100.00 100.00    19     19   19      0     19    19   100.00
 558   26    0  100.00 100.00    25     25   25      0     25    24    96.00
 559    8    0  100.00  80.00     4      4    5      0      8     7    87.50
 560   16    0  100.00 100.00    12     12   12      0     16    16   100.00
 561    9    0  100.00 100.00     7      7    7      0      9     9   100.00
 562   28    0  100.00 100.00    19     19   19      0     28    28   100.00
 563   16    0  100.00 100.00    13     13   13      0     16    14    87.50
 564   22    0   93.75  93.75    15     16   16      0     22    20    90.91
 565   10    0  100.00 100.00     7      7    7      0     10    10   100.00
 566   26    0  100.00  94.44    17     17   18      0     26    26   100.00
 567   11    0  100.00  80.00     8      8   10      0     11    11   100.00
 568   19    0  100.00 100.00    15     15   15      0     19    19   100.00
 569   20    0  100.00  92.31    12     12   13      0     20    19    95.00
 570   16    0   73.33  78.57    11     15   14      1     16    14    87.50
 571   11    0   87.50  87.50     7      8    8      0     11    11   100.00
 572   14    0   91.67 100.00    11     12   11      0     13    13   100.00
 573   21    0  100.00 100.00    16     16   16      0     20    20   100.00
 574   31    1    0.00   0.00     0      0    0      0      0     0     0.00
 575   17    0  100.00 100.00    17     17   17      0     17    17   100.00
 576   16    0  100.00 100.00    13     13   13      0     15    15   100.00
 577    5    0   83.33  71.43     5      6    7      0      5     5   100.00
 578    6    0  100.00 100.00     4      4    4      0      6     6   100.00
 579    9    0  100.00 100.00    10     10   10      0      9     8    88.89
 580   27    0   90.00  94.74    18     20   19      1     27    26    96.30
 581   39    0  100.00 100.00    37     37   37      0     39    39   100.00
 582   22    0  100.00 100.00    22     22   22      0     22    22   100.00
 583   15    0   94.74  94.74    18     19   19      0     15    15   100.00
 584   32    0   96.43  93.10    27     28   29      0     32    31    96.88
 585   34    0   89.66  86.67    26     29   30      3     34    33    97.06
 586   31    0   81.48  81.48    22     27   27      4     31    31   100.00
 587   34    0   92.59  89.29    25     27   28      1     34    32    94.12
 588    9    0  100.00 100.00    10     10   10      0      9     9   100.00
 589    6    0  100.00 100.00     4      4    4      0      6     6   100.00
 590   32    0   96.00  92.31    24     25   26      1     32    32   100.00
 591   13    0   80.00  80.00     8     10   10      0     13    13   100.00
 592   38    0  100.00  89.19    33     33   37      0     38    36    94.74
 593   31    0   92.86  92.86    26     28   28      1     31    30    96.77
 594   31    0   95.45  77.78    21     22   27      0     31    31   100.00
 595   30    0   86.96  90.91    20     23   22      0     30    29    96.67
 596   37    0   94.59  92.11    35     37   38      1     37    36    97.30
 597   12    0  100.00 100.00    12     12   12      0     12    12   100.00
 598   34    0   75.00  75.00    18     24   24      6     32    31    96.88
 599   22    0   85.71  92.31    12     14   13      1     22    22   100.00
 600   29    0   93.33  87.50    28     30   32      2     29    29   100.00
 601   23    0   95.24  95.24    20     21   21      0     23    22    95.65
